State,Year,Total_Population,Median_Age,Male_Population,Female_Population,White_Population,Black_Population,Asian_Population,Hispanic_Population,Veteran_Status,Foreign_Born_Population,Non_English_Speakers,Median_Household_Income,Per_Capita_Income,Population_in_Poverty,Total_Population_for_Poverty,Unemployed_Population,Labor_Force_Population,Total_Households,Owner_Occupied_Homes,Renter_Occupied_Homes,Median_Home_Value,Median_Rent,Cost_Burdened_Households,Vacancy_Rate,Average_Household_Size,Mean_Travel_Time,Car_Commute,Public_Transit_Commute,Walk_Commute,Work_From_Home,Total_Insured_Population,Total_Uninsured_Population,Private_Insurance,Public_Insurance,No_Health_Insurance,Total_Population_25_Over,Less_Than_HS,High_School_Graduate,Some_College,Associates_Degree,Bachelors_Degree,Graduate_Degree
Pennsylvania,2020,12794885.0,40.9,6269142.0,6525743.0,10155004.0,1419582.0,449320.0,971813.0,10137264.0,896853.0,12092654.0,63627.0,35518.0,1480430.0,12387061.0,351248.0,6566126.0,5713345.0,3522269.0,1584332.0,187500.0,958.0,125809.0,606744.0,2.42,153412435.0,5029173.0,315578.0,211881.0,433801.0,12590644.0,128825.0,2818899.0,257225.0,310278.0,8989998.0,91862.0,2726970.0,930989.0,1754311.0,821652.0,141105.0
California,2020,39346023.0,36.7,19562882.0,19783141.0,22053721.0,2250962.0,5834312.0,15380929.0,30248480.0,10463818.0,36936941.0,78672.0,38576.0,4853434.0,38589882.0,1229079.0,20016955.0,14210945.0,7241318.0,5861796.0,538500.0,1586.0,527570.0,1107831.0,2.94,498276585.0,14963132.0,843498.0,461980.0,1529697.0,38838726.0,308355.0,9465391.0,1045925.0,1393201.0,26665143.0,773807.0,4804099.0,4008134.0,5764827.0,2377177.0,447039.0
West Virginia,2020,1807426.0,42.7,893743.0,913683.0,1672255.0,64285.0,14228.0,28679.0,1440304.0,29584.0,1711734.0,48037.0,27346.0,300152.0,1755591.0,52031.0,798208.0,893615.0,540786.0,193449.0,123200.0,732.0,13895.0,159380.0,2.4,18180565.0,662221.0,6085.0,20172.0,33353.0,1778080.0,11117.0,387727.0,41006.0,56763.0,1283869.0,9967.0,430438.0,161126.0,163598.0,80602.0,12839.0
Utah,2020,3151239.0,31.1,1586950.0,1564289.0,2682881.0,38059.0,73190.0,446067.0,2218812.0,264538.0,2902637.0,74197.0,30986.0,283360.0,3102049.0,57829.0,1600462.0,1110369.0,707663.0,295682.0,305400.0,1090.0,27164.0,107024.0,3.09,30350155.0,1286574.0,33830.0,35471.0,138218.0,3124563.0,67725.0,977347.0,98790.0,110879.0,1868472.0,16060.0,368759.0,327524.0,429936.0,156361.0,27681.0
New York,2020,19514849.0,39.0,9474184.0,10040665.0,12160045.0,3002401.0,1674216.0,3720707.0,15420195.0,4372167.0,18374180.0,71117.0,40898.0,2581048.0,19009098.0,570570.0,10032721.0,8362971.0,4014516.0,3402708.0,325000.0,1315.0,292744.0,945747.0,2.55,287526290.0,5415544.0,2418334.0,548517.0,634197.0,19276809.0,108372.0,4310934.0,404307.0,500025.0,13649157.0,294862.0,2931187.0,1455960.0,2854930.0,1625827.0,218016.0
District of Columbia,2020,701974.0,34.1,333137.0,368837.0,288306.0,318631.0,28762.0,77981.0,572928.0,94193.0,657061.0,90842.0,58659.0,103391.0,669089.0,29290.0,414396.0,319192.0,122648.0,165659.0,618100.0,1607.0,14870.0,30885.0,2.3,10280220.0,140488.0,119569.0,47319.0,46472.0,692059.0,2669.0,136567.0,11373.0,10778.0,501986.0,5555.0,70138.0,45144.0,126808.0,106879.0,20589.0
Alaska,2020,736990.0,34.6,384653.0,352337.0,466961.0,23894.0,47289.0,53059.0,534765.0,57342.0,684688.0,77790.0,37094.0,74369.0,719445.0,26429.0,386787.0,318370.0,165376.0,89797.0,275600.0,1240.0,7668.0,63197.0,2.78,6250965.0,281851.0,4247.0,26789.0,21184.0,711104.0,18280.0,191841.0,33377.0,37367.0,483436.0,3172.0,110980.0,88422.0,90161.0,39156.0,6058.0
Florida,2020,21216924.0,42.2,10374594.0,10842330.0,15199588.0,3381061.0,590668.0,5468826.0,16935272.0,4410286.0,20083534.0,57703.0,32848.0,2772939.0,20793628.0,556113.0,10308068.0,9562324.0,5250878.0,2680435.0,232000.0,1218.0,239568.0,1631011.0,2.62,246298015.0,8309690.0,154580.0,132932.0,742035.0,20897188.0,320796.0,4455752.0,944469.0,1330808.0,15255326.0,240030.0,3668483.0,2015702.0,2938593.0,1196501.0,180565.0
South Carolina,2020,5091517.0,39.7,2468682.0,2622835.0,3386329.0,1346560.0,83573.0,296897.0,3947351.0,263203.0,4799866.0,54864.0,30727.0,726470.0,4950181.0,135484.0,2484102.0,2319112.0,1375391.0,586090.0,170100.0,918.0,47197.0,357631.0,2.53,54667810.0,2084681.0,11723.0,44903.0,129911.0,4990992.0,58592.0,1172091.0,193269.0,263534.0,3512626.0,38795.0,856624.0,506369.0,638394.0,278486.0,42470.0
North Dakota,2020,760394.0,35.2,389284.0,371110.0,651470.0,23959.0,11979.0,30325.0,575069.0,32389.0,706986.0,65315.0,36289.0,77491.0,735842.0,12861.0,421736.0,376597.0,200671.0,120202.0,199900.0,828.0,7827.0,55724.0,2.29,6680070.0,359802.0,2125.0,12812.0,20933.0,743105.0,13742.0,188147.0,20755.0,18993.0,497525.0,3127.0,109851.0,78588.0,109962.0,30854.0,5002.0
